"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"33939","T30SP6R W/30","MFG","201.P.20","9",
"31947","SSA-EB2P-13","MFG","202.I.15","71",
"805482","PTL110S-FF100TD3-QP150","MFG","201.X.20","5",
"71791","BRT-51X51BM","MFG","201.Y.01","2441",
"49816","BRT-77X77C","MFG","203.U.12","498",
"93032","SI-LS83RC10D","MFG","204.V.12","32",
"815179","BC-M12F8-24-2-SF","MFG","204.X.15","7",
"83024","PS100-1N-BENC","MFG","205.L.14","25",
"816373","JB-8M12-M23-N24","MFG","205.L.01","455",
"818531","BC-M12F4-M12M4-22-5-SST","MFG","204.M.10","4",
"83040","T30SCP6FF200Q","MFG","206.S.10","173",
"66956","MQDC1-560","MFG","205.X.01","210",
"26850","MQDC-415","MFG","209.I.10","136",
"804449","ABR71L9-MSE2","MFG","209.J.15","12",
"805383","TL30BGYRXXNXQD","MFG","208.J.13","23",
"90735","IVU2PTGR08","MFG","208.T.10","38",
"71791","BRT-51X51BM","MFG","208.V.01","8291",
"814937","BC-M12F4-22-5","MFG","210.S.05","13",
"81282","MQDC-415RA-PUR","MFG","211.U.04","926",
"17285","BT26S","MFG","211.K.10","22",
"68425","QDS-315C","MFG","211.Q.04","27",
"814462","DEE2R-815D-SYM","MFG","200.K.25","98",
"807132","SI-HG63F5ML-W","MFG","201.L.23","42",
"74841","T30UIPBQ-CRFV","MFG","201.O.26","178",
"813814","BC-M8F3-M8M3-24-8","MFG","202.J.23","97",
"47813","MQDC1-515RA","MFG","206.U.00","382",
"221898","INSERT BOX FLEX ARM END CAP SHORT","MFG","206.X.30","2525",
"91418","K50LYXWP","MFG","204.R.21","131",
"808838","ABR72L9-RPE2","MFG","204.T.23","11",
"811096","SXA-DEE2M-810F","MFG","204.V.25","57",
"807459","WLS27PXRGBW285DSKQ","MFG","313.I.25","1",
"89913","SLLCP23-1470","MFG","314.D.32","1",
"220859","BOX Q5X BULK PACK","MFG","209.X.31","125",
"800455","TL50BWGYRAQ","MFG","313.A.21","4",
"87841","WLS28-2CW1130L25XPBQ","MFG","313.C.25","6",
"813547","WLA-2W360X180DQ","MFG","317.I.20","9",
"803420","K30RPT2BXDQP","MFG","307.F.51","8",
"72057","EZA-MBK-18","MFG","307.B.53","6",
"227413","COVER ASSY 4 TOUCH ANDON","MFG","307.I.12","9",
"814860","BFW-M8M4A-4X","MFG","307.I.35","37",
"802450","QS18VP6AF250Q","MFG","307.D.22","6",
"37635","Q459EQ","MFG","308.D.60","1",
"18343","K50BCLXBXP","MFG","308.E.34","4",
"184918","MOTOR TRANSPORT MYDATA T3/T4","MFG","307.V.46","1",
"810274","IC225CBL001","MFG","308.M.21","3",
"54306","Q45VR3CVQ","MFG","308.H.31","2",
"97183","VELC85-BG","MFG","308.H.42","4",
"03948","PCB RAW Q25 DC EMTR TRANS IMM TH-0.031 IN PA-8","MFG","308.I.21","120",
"816057","WLB32VCW570PBQ","MFG","311.I.41","249",
"808673","WLB72BZCW2400DACT","MFG","311.L.40","5",
"800435","K50LGRXPAK2Q-800435","MFG","308.R.47","4",
"807174","S22AMTFGRY3T","MFG","308.S.42","12",
"17266","BT21.5S","MFG","308.T.21","2",
"67584","LIT T8","MFG","304.F.11","792",
"29589","IVURDM-QDK-806","MFG","304.H.34","5",
"806411","SI-RFA-P","MFG","304.J.34","461",
"131480","COVER BACK MACH HI INTENSITY RINGLIGHT","MFG","304.K.15","63",
"819481","BC-M12F4Z-M12M4ZA-18-1","MFG","303.L.12","10",
"815015","R95-6M125-M128-S4BM","MFG","304.C.21","1",
"22317","IAT2.53SM600","MFG","304.D.22","19",
"802005","WLS15CDW0920DSC2","MFG","312.H.23","8",
"806301","S22AMTSGRY3Q","MFG","305.E.57","80",
"816083","BC-M12M5A-22-2","MFG","305.G.11","4",
"819345","TTR348APSC3T-1.0Q5-080","MFG","309.D.14","14",
"97317","WLB32C285M","MFG","309.E.30","32",
"73550","LS2TP30-1050Q88","MFG","310.A.22","3",
"18836","QS30BEQPMA-18836","MFG","305.C.32","1",
"211192","RESONATOR SMD 8MHZ 5000PPM -25C~85C","MFG","305.D.57","339",
"818867","BC-M12F4ZA-M12M4Z-YE18-1","MFG","305.R.60","3",
"75733","QS18EP6FPQ8","MFG","305.M.22","9",
"73238","QS18VN6LLPQ5","MFG","305.P.34","1",
"61664","QS18VN6DBQ","MFG","305.P.54","2",
"73808","LEDRA62X62W","MFG","305.U.13","2",
"43151","MSMMB","MFG","305.V.51","4",
"813205","S15C-BB-MLEQ","MFG","305.AB.30","50",
"97778","PIRS1X326T5AL25","MFG","308.Z.17","41",
"807868","NV5-Q08-AN7-BW1","MFG","307.AC.50","12",
"81931","FTH-FIL-002","MFG","302.AC.31","128",
"32723","SMB30A","MFG","301.U.00","4882",
"111884","LENS QS186 LINE GENERATOR HOR HORIZONTAL","MFG","308.AC.30","36",
"181104","HARDWARE PKT TL70 BLACK","MFG","302.AI.15","2",
"809274","K30PTKQP","MFG","302.AF.31","18",
"62379","D10DNFP","MFG","300.F.44","17",
"813557","WLA-2W360X180L30Q","MFG","316.F.34","1",
"817757","TTR739APSB8T-2.0Q5-059","MFG","316.I.14","14",
"802064","WLS15CWW0640DSQS","MFG","315.B.30","22",
"60368","SL10VB6VYQ","MFG","300.G.52","1",
"27059","SMA915DJ-27059","MFG","300.K.30","13",
"10534","TL50Y","MFG","300.L.21","16",
"809547","K50L2RGB7ALSQ-809547","MFG","300.L.60","5",
"19754","TL50HRGQP","MFG","300.M.10","19",
"27379","SM30PRLQDB","MFG","300.N.12","5",
"92821","K90LGRPQ","MFG","300.N.13","8",
"207787","FIX MFG APPLICATOR LIQUID CONTAINER 21A","MFG","408.B.57","2",
"87664","DF-G3IR-NU-Q5","MFG","408.E.67","23",
