"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"30979","OTC-1-GN","NFG","90.G.04","1",
"28187","ESL-41/60-ENES","NFG","90.G.05","99",
"817371","BT210SM900-CNTM01","NFG","88.A.04","4",
"33398","Q406EQ","NFG","88.B.06","1",
"47881","SI-LS42DMI","NFG","88.E.07","47",
"46743","RP-LS42F-75L SUB ASSY","NFG","88.F.05","4",
"94306","DEE2R-88D","NFG","89.B.01","29",
"65145","SI-QS-M20","NFG","90.B.05","25",
"72125","Q12RB6LV","NFG","93.G.05","1",
"813912","DES4E-51D","NFG","77.C.01","38",
"802875","Q4XTULAF500-Q8","NFG","95.G.04","12",
"48670","M18SP6FF50","NFG","95.H.06","1",
"81082","MQDC1-5100","NFG","57.F.02","22",
"60811","MQDEC2-515","NFG","57.L.02","573",
"814009","MQDC2S-1230 BSZ","NFG","57.N.03","100",
"28676","IVURDM-QD-830","NFG","58.F.01","64",
"82544","BES50-08S6H-360","NFG","58.K.02","95",
"807714","BRT-11X20MD","NFG","59.A.04","4970",
"89934","SLLCP40-1330","NFG","59.B.01","2",
"811065","SI-GL42DS21-10","NFG","77.F.07","6",
"96010","BAT66ST5TA-VL","NFG","77.G.05","1",
"77311","K50LGRB2PQ","NFG","94.A.05","14",
"88200","T30UXDCQ8-CRFV","NFG","94.A.06","1",
"814339","QS18VN6FF100-CNJC03","NFG","94.G.03","20",
"77391","K50LGRYPQ-77391","NFG","95.E.02","1",
"92559","M18-3NAES-2M","NFG","104.C.07","1",
"77761","Q20PLP","NFG","104.D.04","37",
"814139","Q2XABFF15-2M","NFG","104.H.04","2",
"71332","QS186LE12Q5","NFG","104.J.05","2",
"72141","Q126EQ","NFG","104.J.06","1",
"817207","QS18P6LAF400IR","NFG","104.K.02","96",
"77763","Q20NLP","NFG","105.A.05","95",
"06917","BRIDGE 1.5A 600V WO6G C-PREP (05225) BRIDGE CUTTER L A.125","NFG","100.B.04","500",
"808236","QS18VP6AF300-CNTF05","NFG","102.D.04","8",
"818049","QS18AN6LAF1000IRQ8","NFG","102.E.01","9",
"810880","Q2XABLAF100-Q","NFG","102.E.04","1",
