"ITEM","DESCRIPTION","BUSINESS_UNIT","FINANCIAL_BU","STOCK PRIORITY","Sourcing Apr.26","Sourcing May.26","Cambios","Sourcing Jun.26","Cambio"
"16536","2LM3","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16539","2LM5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16544","2LM5-14","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16542","2LM5R","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16543","2LM5RM1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16546","2PBA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"26611","2PBR2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"18560","2SBD1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17484","2SBDX1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17152","2SBF1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17669","2SBL1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"17668","2SBR1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16557","3GA5-14","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"18790","3GA5-14M.5M.5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"25219","3GA5-14M5M5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16555","3LM5-14","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"25223","3LM5-14M5M5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16554","3PBA","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16556","3SBG","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"69697","8-LM2T-AU115","30","Safety","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
